Attempts
Date,Attempted
2015-05-01,36
2015-05-02,29
2015-05-04,26
2015-05-07,11
2015-05-08,17
2015-05-09,52
2015-05-10,4
2015-05-11,33
2015-05-12,12
2015-05-13,42
2015-05-14,27
2015-05-15,38
2015-05-16,25
2015-05-17,47
2015-05-18,40
2015-05-19,21
2015-05-20,18
2015-05-21,15
2015-05-22,56
2015-05-23,85
2015-05-24,57
2015-05-25,46
2015-05-26,19
2015-05-27,29
2015-05-28,30
2015-05-29,78
2015-05-30,155
2015-05-31,22

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-05-31,Disappointment Cleaver,11,8,0.727272727
2015-05-31,Disappointment Cleaver,11,11,1.0
2015-05-30,Emmons-Winthrop,2,0,0.0
2015-05-30,Disappointment Cleaver,4,0,0.0
2015-05-30,Disappointment Cleaver,3,0,0.0
2015-05-30,Disappointment Cleaver,3,0,0.0
2015-05-30,Ingraham Direct,2,2,1.0
2015-05-30,Emmons-Winthrop,2,2,1.0
2015-05-30,Liberty RIngraham Directge,2,2,1.0
2015-05-30,Little Tahoma,11,0,0.0
2015-05-30,Emmons-Winthrop,2,0,0.0
2015-05-30,Disappointment Cleaver,3,0,0.0
2015-05-30,Disappointment Cleaver,2,0,0.0
2015-05-30,Disappointment Cleaver,5,0,0.0
2015-05-30,Kautz Glacier,2,0,0.0
2015-05-30,Disappointment Cleaver,12,0,0.0
2015-05-30,glacier only - no summit attempt,1,0,0.0
2015-05-30,Disappointment Cleaver,12,0,0.0
2015-05-30,Disappointment Cleaver,3,0,0.0
2015-05-30,Disappointment Cleaver,2,0,0.0
2015-05-30,Disappointment Cleaver,5,0,0.0
2015-05-30,Disappointment Cleaver,3,3,1.0
2015-05-30,Disappointment Cleaver,3,3,1.0
2015-05-30,glacier only - no summit attempt,2,0,0.0
2015-05-30,Disappointment Cleaver,1,1,1.0
2015-05-30,Gibralter Ledges,3,0,0.0
2015-05-30,Disappointment Cleaver,12,5,0.41666666700000005
2015-05-30,Disappointment Cleaver,4,4,1.0
2015-05-30,Disappointment Cleaver,12,7,0.583333333
2015-05-30,Kautz Glacier,2,2,1.0
2015-05-30,Ingraham Direct,3,3,1.0
2015-05-30,Disappointment Cleaver,2,0,0.0
2015-05-30,Disappointment Cleaver,3,3,1.0
2015-05-30,Disappointment Cleaver,3,0,0.0
2015-05-30,Disappointment Cleaver,4,0,0.0
2015-05-30,Disappointment Cleaver,12,12,1.0
2015-05-30,Disappointment Cleaver,8,8,1.0
2015-05-29,Disappointment Cleaver,1,0,0.0
2015-05-29,Disappointment Cleaver,2,0,0.0
2015-05-29,Liberty RIngraham Directge,4,0,0.0
2015-05-29,Disappointment Cleaver,2,0,0.0
2015-05-29,Fuhrers Finger,2,2,1.0
2015-05-29,Disappointment Cleaver,3,3,1.0
2015-05-29,Disappointment Cleaver,4,2,0.5
2015-05-29,Disappointment Cleaver,2,2,1.0
2015-05-29,Disappointment Cleaver,2,0,0.0
2015-05-29,Little Tahoma,2,2,1.0
2015-05-29,Disappointment Cleaver,2,0,0.0
2015-05-29,Disappointment Cleaver,2,2,1.0
2015-05-29,Curtis RIngraham Directge,2,0,0.0
2015-05-29,Disappointment Cleaver,12,10,0.833333333
2015-05-29,Disappointment Cleaver,12,7,0.583333333
2015-05-29,Ptarmigan RIngraham Directge,3,0,0.0
2015-05-29,Disappointment Cleaver,12,12,1.0
2015-05-29,Disappointment Cleaver,4,2,0.5
2015-05-29,Kautz Glacier,2,2,1.0
2015-05-29,Disappointment Cleaver,2,0,0.0
2015-05-29,Disappointment Cleaver,1,0,0.0
2015-05-28,Disappointment Cleaver,5,5,1.0
2015-05-28,Emmons-Winthrop,3,0,0.0
2015-05-28,Little Tahoma,3,3,1.0
2015-05-28,Disappointment Cleaver,3,3,1.0
2015-05-28,Fuhrers Finger,3,0,0.0
2015-05-28,Disappointment Cleaver,12,10,0.833333333
2015-05-28,Kautz Glacier,1,0,0.0
2015-05-27,Disappointment Cleaver,11,5,0.454545455
2015-05-27,Disappointment Cleaver,8,6,0.75
2015-05-27,Disappointment Cleaver,4,3,0.75
2015-05-27,Disappointment Cleaver,2,0,0.0
2015-05-27,Emmons-Winthrop,4,3,0.75
2015-05-26,Disappointment Cleaver,2,0,0.0
2015-05-26,Emmons-Winthrop,3,0,0.0
2015-05-26,Disappointment Cleaver,12,10,0.833333333
2015-05-26,Disappointment Cleaver,2,0,0.0
2015-05-25,Disappointment Cleaver,2,0,0.0
2015-05-25,Kautz Glacier,4,4,1.0
2015-05-25,Disappointment Cleaver,1,0,0.0
2015-05-25,Disappointment Cleaver,3,3,1.0
2015-05-25,Liberty RIngraham Directge,5,0,0.0
2015-05-25,Emmons-Winthrop,2,2,1.0
2015-05-25,Disappointment Cleaver,10,4,0.4
2015-05-25,Disappointment Cleaver,11,11,1.0
2015-05-25,Disappointment Cleaver,8,7,0.875
2015-05-24,Little Tahoma,11,0,0.0
2015-05-24,Kautz Glacier,4,4,1.0
2015-05-24,Disappointment Cleaver,3,0,0.0
2015-05-24,Disappointment Cleaver,11,0,0.0
2015-05-24,Disappointment Cleaver,12,9,0.75
2015-05-24,Disappointment Cleaver,12,7,0.583333333
2015-05-24,Disappointment Cleaver,2,2,1.0
2015-05-24,Little Tahoma,2,0,0.0
2015-05-23,Disappointment Cleaver,2,0,0.0
2015-05-23,Emmons-Winthrop,4,0,0.0
