Attempts
Date,Attempted
2015-06-01,34
2015-06-02,30
2015-06-03,31
2015-06-04,98
2015-06-05,126
2015-06-06,145
2015-06-07,91
2015-06-08,59
2015-06-09,72
2015-06-10,43
2015-06-11,74
2015-06-12,141
2015-06-13,130
2015-06-14,59
2015-06-15,87
2015-06-16,60
2015-06-17,75
2015-06-18,94
2015-06-19,145
2015-06-20,149
2015-06-21,87
2015-06-22,123
2015-06-23,119
2015-06-24,114
2015-06-25,139
2015-06-26,193
2015-06-27,193
2015-06-28,113
2015-06-29,121
2015-06-30,81

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-06-30,Disappointment Cleaver,3,0,0.0
2015-06-30,Disappointment Cleaver,2,2,1.0
2015-06-30,Disappointment Cleaver,4,4,1.0
2015-06-30,Disappointment Cleaver,3,3,1.0
2015-06-30,Disappointment Cleaver,3,0,0.0
2015-06-30,Emmons-Winthrop,5,5,1.0
2015-06-30,Emmons-Winthrop,11,4,0.363636364
2015-06-30,Disappointment Cleaver,2,2,1.0
2015-06-30,Disappointment Cleaver,12,9,0.75
2015-06-30,Disappointment Cleaver,12,9,0.75
2015-06-30,Disappointment Cleaver,12,5,0.41666666700000005
2015-06-30,Kautz Glacier,12,9,0.75
2015-06-29,Disappointment Cleaver,3,0,0.0
2015-06-29,Kautz Glacier,2,2,1.0
2015-06-29,Disappointment Cleaver,2,2,1.0
2015-06-29,Kautz Glacier,3,3,1.0
2015-06-29,Disappointment Cleaver,3,0,0.0
2015-06-29,Emmons-Winthrop,10,5,0.5
2015-06-29,Emmons-Winthrop,2,2,1.0
2015-06-29,Emmons-Winthrop,4,3,0.75
2015-06-29,Emmons-Winthrop,4,4,1.0
2015-06-29,Disappointment Cleaver,2,0,0.0
2015-06-29,Disappointment Cleaver,3,3,1.0
2015-06-29,Kautz Glacier,2,0,0.0
2015-06-29,Disappointment Cleaver,2,0,0.0
2015-06-29,Disappointment Cleaver,4,4,1.0
2015-06-29,Disappointment Cleaver,3,0,0.0
2015-06-29,Disappointment Cleaver,12,12,1.0
2015-06-29,Disappointment Cleaver,12,8,0.666666667
2015-06-29,Disappointment Cleaver,12,6,0.5
2015-06-29,Disappointment Cleaver,12,12,1.0
2015-06-29,Disappointment Cleaver,12,8,0.666666667
2015-06-29,Disappointment Cleaver,12,6,0.5
2015-06-28,Disappointment Cleaver,4,4,1.0
2015-06-28,Emmons-Winthrop,2,0,0.0
2015-06-28,Disappointment Cleaver,3,0,0.0
2015-06-28,Disappointment Cleaver,2,0,0.0
2015-06-28,Disappointment Cleaver,2,0,0.0
2015-06-28,Emmons-Winthrop,5,0,0.0
2015-06-28,Emmons-Winthrop,2,2,1.0
2015-06-28,Emmons-Winthrop,6,6,1.0
2015-06-28,Liberty RIngraham Directge,2,0,0.0
2015-06-28,Disappointment Cleaver,2,2,1.0
2015-06-28,Emmons-Winthrop,11,11,1.0
2015-06-28,Disappointment Cleaver,12,7,0.583333333
2015-06-28,Kautz Glacier,12,12,1.0
2015-06-28,Disappointment Cleaver,12,8,0.666666667
2015-06-28,Disappointment Cleaver,12,0,0.0
2015-06-28,Kautz Glacier,12,0,0.0
2015-06-28,Disappointment Cleaver,12,0,0.0
2015-06-27,Disappointment Cleaver,2,2,1.0
2015-06-27,Emmons-Winthrop,3,3,1.0
2015-06-27,Emmons-Winthrop,4,4,1.0
2015-06-27,Emmons-Winthrop,3,0,0.0
2015-06-27,Emmons-Winthrop,3,0,0.0
2015-06-27,Emmons-Winthrop,3,3,1.0
2015-06-27,Disappointment Cleaver,4,0,0.0
2015-06-27,Disappointment Cleaver,3,3,1.0
2015-06-27,Disappointment Cleaver,2,0,0.0
2015-06-27,Disappointment Cleaver,4,4,1.0
2015-06-27,Disappointment Cleaver,3,0,0.0
2015-06-27,Disappointment Cleaver,4,4,1.0
2015-06-27,Disappointment Cleaver,4,0,0.0
2015-06-27,Disappointment Cleaver,3,3,1.0
2015-06-27,Disappointment Cleaver,3,0,0.0
2015-06-27,Kautz Glacier,2,2,1.0
2015-06-27,Disappointment Cleaver,6,3,0.5
2015-06-27,Emmons-Winthrop,6,0,0.0
2015-06-27,Emmons-Winthrop,2,0,0.0
2015-06-27,Disappointment Cleaver,4,4,1.0
2015-06-27,Emmons-Winthrop,3,1,0.333333333
2015-06-27,Disappointment Cleaver,12,0,0.0
2015-06-27,Disappointment Cleaver,12,0,0.0
2015-06-27,Disappointment Cleaver,12,0,0.0
2015-06-27,Little Tahoma,6,0,0.0
2015-06-27,Little Tahoma,6,0,0.0
2015-06-27,Disappointment Cleaver,2,0,0.0
2015-06-27,Kautz Glacier,5,5,1.0
2015-06-27,Emmons-Winthrop,7,0,0.0
2015-06-27,Kautz Glacier,12,12,1.0
2015-06-27,Kautz Glacier,12,0,0.0
2015-06-27,Kautz Glacier,12,0,0.0
2015-06-27,Disappointment Cleaver,12,12,1.0
2015-06-27,Disappointment Cleaver,12,0,0.0
2015-06-26,Disappointment Cleaver,9,9,1.0
2015-06-26,glacier only - no summit attempt,1,0,0.0
2015-06-26,Disappointment Cleaver,4,0,0.0
2015-06-26,Disappointment Cleaver,3,3,1.0
2015-06-26,Disappointment Cleaver,4,2,0.5
2015-06-26,Emmons-Winthrop,3,0,0.0
2015-06-26,Disappointment Cleaver,4,4,1.0
2015-06-26,Kautz Glacier,3,0,0.0
2015-06-26,Disappointment Cleaver,5,4,0.8
2015-06-26,Emmons-Winthrop,5,5,1.0
2015-06-26,Disappointment Cleaver,5,0,0.0
2015-06-26,Disappointment Cleaver,2,2,1.0
2015-06-26,Disappointment Cleaver,2,0,0.0
2015-06-26,Disappointment Cleaver,4,0,0.0
2015-06-26,Kautz Glacier,2,2,1.0
2015-06-26,Emmons-Winthrop,2,0,0.0
2015-06-26,Liberty RIngraham Directge,3,3,1.0
2015-06-26,Disappointment Cleaver,4,3,0.75
2015-06-26,Disappointment Cleaver,12,0,0.0
