Attempts
Date,Attempted
2015-07-01,111
2015-07-02,98
2015-07-03,186
2015-07-04,74
2015-07-05,82
2015-07-06,131
2015-07-07,61
2015-07-08,65
2015-07-09,120
2015-07-10,132
2015-07-11,108
2015-07-12,90
2015-07-13,96
2015-07-14,137
2015-07-15,66
2015-07-16,127
2015-07-17,152
2015-07-18,141
2015-07-19,72
2015-07-20,82
2015-07-21,85
2015-07-22,55
2015-07-23,68
2015-07-24,55
2015-07-25,84
2015-07-26,98
2015-07-27,52
2015-07-28,44
2015-07-29,23
2015-07-30,40
2015-07-31,123

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-07-31,Disappointment Cleaver,4,0,0.0
2015-07-31,Disappointment Cleaver,6,3,0.5
2015-07-31,Disappointment Cleaver,11,0,0.0
2015-07-31,Disappointment Cleaver,2,2,1.0
2015-07-31,Disappointment Cleaver,1,0,0.0
2015-07-31,Emmons-Winthrop,3,0,0.0
2015-07-31,Emmons-Winthrop,6,0,0.0
2015-07-31,Disappointment Cleaver,2,2,1.0
2015-07-31,Disappointment Cleaver,3,2,0.666666667
2015-07-31,Disappointment Cleaver,7,4,0.571428571
2015-07-31,Disappointment Cleaver,5,5,1.0
2015-07-31,Disappointment Cleaver,3,0,0.0
2015-07-31,Disappointment Cleaver,3,0,0.0
2015-07-31,Disappointment Cleaver,2,0,0.0
2015-07-31,Disappointment Cleaver,2,0,0.0
2015-07-31,Kautz Glacier,2,2,1.0
2015-07-31,Disappointment Cleaver,2,2,1.0
2015-07-31,Disappointment Cleaver,4,4,1.0
2015-07-31,Disappointment Cleaver,3,1,0.333333333
2015-07-31,Disappointment Cleaver,4,0,0.0
2015-07-31,Disappointment Cleaver,10,9,0.9
2015-07-31,Disappointment Cleaver,12,6,0.5
2015-07-31,Disappointment Cleaver,12,10,0.833333333
2015-07-31,Disappointment Cleaver,3,3,1.0
2015-07-31,Disappointment Cleaver,3,2,0.666666667
2015-07-31,Disappointment Cleaver,3,0,0.0
2015-07-31,Disappointment Cleaver,4,0,0.0
2015-07-31,Disappointment Cleaver,1,0,0.0
2015-07-30,Disappointment Cleaver,1,0,0.0
2015-07-30,Disappointment Cleaver,3,3,1.0
2015-07-30,Disappointment Cleaver,2,0,0.0
2015-07-30,Disappointment Cleaver,6,5,0.833333333
2015-07-30,Disappointment Cleaver,5,5,1.0
2015-07-30,Disappointment Cleaver,3,3,1.0
2015-07-30,glacier only - no summit attempt,2,0,0.0
2015-07-30,Disappointment Cleaver,4,4,1.0
2015-07-30,Emmons-Winthrop,2,2,1.0
2015-07-30,Disappointment Cleaver,12,9,0.75
2015-07-29,Disappointment Cleaver,2,2,1.0
2015-07-29,Emmons-Winthrop,6,6,1.0
2015-07-29,Disappointment Cleaver,4,0,0.0
2015-07-29,Emmons-Winthrop,5,0,0.0
2015-07-29,Emmons-Winthrop,6,0,0.0
2015-07-28,Disappointment Cleaver,2,2,1.0
2015-07-28,Fuhrers Finger,2,0,0.0
2015-07-28,Disappointment Cleaver,2,2,1.0
2015-07-28,Disappointment Cleaver,2,2,1.0
2015-07-28,Disappointment Cleaver,2,2,1.0
2015-07-28,Disappointment Cleaver,2,2,1.0
2015-07-28,Disappointment Cleaver,2,0,0.0
2015-07-28,Emmons-Winthrop,3,0,0.0
2015-07-28,Emmons-Winthrop,12,10,0.833333333
2015-07-28,Disappointment Cleaver,3,2,0.666666667
2015-07-28,Disappointment Cleaver,2,0,0.0
2015-07-28,Disappointment Cleaver,3,3,1.0
2015-07-28,Disappointment Cleaver,7,3,0.428571429
2015-07-27,Disappointment Cleaver,4,4,1.0
2015-07-27,Disappointment Cleaver,4,0,0.0
2015-07-27,Disappointment Cleaver,2,2,1.0
2015-07-27,Disappointment Cleaver,2,2,1.0
2015-07-27,Disappointment Cleaver,3,3,1.0
2015-07-27,Emmons-Winthrop,3,3,1.0
2015-07-27,Emmons-Winthrop,2,2,1.0
2015-07-27,Disappointment Cleaver,3,3,1.0
2015-07-27,Emmons-Winthrop,3,4,1.333333333
2015-07-27,Emmons-Winthrop,12,12,1.0
2015-07-27,Kautz Glacier,3,0,0.0
2015-07-27,Disappointment Cleaver,3,3,1.0
2015-07-27,Little Tahoma,6,6,1.0
2015-07-27,Disappointment Cleaver,2,2,1.0
2015-07-26,Kautz Glacier,3,3,1.0
2015-07-26,Emmons-Winthrop,11,8,0.727272727
2015-07-26,Success Cleaver,5,0,0.0
2015-07-26,Little Tahoma,4,0,0.0
2015-07-26,Kautz Glacier,6,4,0.666666667
2015-07-26,Disappointment Cleaver,2,2,1.0
2015-07-26,Disappointment Cleaver,7,5,0.7142857140000001
2015-07-26,Emmons-Winthrop,4,0,0.0
2015-07-26,Kautz Glacier,4,0,0.0
2015-07-26,Disappointment Cleaver,2,0,0.0
2015-07-26,Kautz Glacier,12,0,0.0
2015-07-26,Disappointment Cleaver,12,3,0.25
2015-07-26,Disappointment Cleaver,12,6,0.5
2015-07-26,Disappointment Cleaver,2,0,0.0
2015-07-26,Kautz Glacier,12,6,0.5
2015-07-25,Disappointment Cleaver,3,0,0.0
2015-07-25,Disappointment Cleaver,2,0,0.0
2015-07-25,Emmons-Winthrop,2,1,0.5
2015-07-25,Emmons-Winthrop,12,0,0.0
2015-07-25,Disappointment Cleaver,2,0,0.0
2015-07-25,Disappointment Cleaver,3,0,0.0
2015-07-25,Disappointment Cleaver,2,0,0.0
2015-07-25,Disappointment Cleaver,3,0,0.0
2015-07-25,Disappointment Cleaver,7,0,0.0
2015-07-25,Disappointment Cleaver,11,9,0.818181818
2015-07-25,Disappointment Cleaver,12,6,0.5
2015-07-25,Disappointment Cleaver,12,11,0.916666667
2015-07-25,Emmons-Winthrop,8,0,0.0
2015-07-25,Disappointment Cleaver,5,5,1.0
2015-07-24,Emmons-Winthrop,4,0,0.0
2015-07-24,Disappointment Cleaver,4,0,0.0
2015-07-24,Emmons-Winthrop,4,0,0.0
2015-07-24,Disappointment Cleaver,6,0,0.0
2015-07-24,Disappointment Cleaver,4,0,0.0
2015-07-24,Disappointment Cleaver,12,0,0.0
2015-07-24,Disappointment Cleaver,11,0,0.0
2015-07-24,Disappointment Cleaver,4,0,0.0
2015-07-24,Disappointment Cleaver,2,0,0.0
2015-07-24,Disappointment Cleaver,4,0,0.0
2015-07-23,Disappointment Cleaver,6,6,1.0
2015-07-23,Emmons-Winthrop,2,0,0.0
2015-07-23,Disappointment Cleaver,2,2,1.0
2015-07-23,Kautz Glacier,2,0,0.0
2015-07-23,Emmons-Winthrop,5,0,0.0
2015-07-23,Disappointment Cleaver,2,0,0.0
2015-07-23,Kautz Glacier,4,0,0.0
2015-07-23,Emmons-Winthrop,2,0,0.0
2015-07-23,Disappointment Cleaver,11,0,0.0
2015-07-23,Disappointment Cleaver,2,0,0.0
2015-07-23,Disappointment Cleaver,3,3,1.0
2015-07-23,Disappointment Cleaver,2,2,1.0
2015-07-23,Disappointment Cleaver,4,4,1.0
2015-07-23,Disappointment Cleaver,6,0,0.0
2015-07-23,Emmons-Winthrop,2,0,0.0
2015-07-23,Emmons-Winthrop,2,0,0.0
2015-07-23,Emmons-Winthrop,11,0,0.0
2015-07-22,Disappointment Cleaver,12,7,0.583333333
2015-07-22,Disappointment Cleaver,12,12,1.0
2015-07-22,Disappointment Cleaver,12,8,0.666666667
2015-07-22,Disappointment Cleaver,4,0,0.0
2015-07-22,Disappointment Cleaver,5,5,1.0
2015-07-22,Disappointment Cleaver,2,0,0.0
2015-07-22,Kautz Glacier,2,2,1.0
2015-07-22,Disappointment Cleaver,6,0,0.0
2015-07-21,Disappointment Cleaver,2,0,0.0
2015-07-21,Disappointment Cleaver,2,1,0.5
2015-07-21,Disappointment Cleaver,4,4,1.0
2015-07-21,Kautz Glacier,2,2,1.0
2015-07-21,Emmons-Winthrop,12,8,0.666666667
2015-07-21,Emmons-Winthrop,4,0,0.0
2015-07-21,Disappointment Cleaver,3,0,0.0
2015-07-21,Disappointment Cleaver,12,10,0.833333333
2015-07-21,Emmons-Winthrop,12,8,0.666666667
2015-07-21,Disappointment Cleaver,12,5,0.41666666700000005
2015-07-21,Kautz Glacier,9,9,1.0
2015-07-21,Disappointment Cleaver,11,0,0.0
2015-07-20,Disappointment Cleaver,5,71,14.2
2015-07-20,Disappointment Cleaver,3,0,0.0
2015-07-20,Disappointment Cleaver,2,0,0.0
2015-07-20,Disappointment Cleaver,2,0,0.0
2015-07-20,Disappointment Cleaver,3,0,0.0
2015-07-20,Kautz Glacier,2,0,0.0
2015-07-20,Disappointment Cleaver,10,0,0.0
2015-07-20,Disappointment Cleaver,2,0,0.0
2015-07-20,Disappointment Cleaver,4,0,0.0
2015-07-20,Emmons-Winthrop,6,2,0.333333333
2015-07-20,Emmons-Winthrop,3,0,0.0
2015-07-20,Disappointment Cleaver,12,12,1.0
2015-07-20,Disappointment Cleaver,12,5,0.41666666700000005
