Attempts
Date,Attempted
2015-08-01,114
2015-08-02,108
2015-08-03,92
2015-08-04,69
2015-08-05,68
2015-08-06,104
2015-08-07,116
2015-08-08,52
2015-08-09,69
2015-08-10,55
2015-08-11,90
2015-08-12,55
2015-08-13,33
2015-08-14,78
2015-08-15,68
2015-08-16,65
2015-08-17,71
2015-08-18,66
2015-08-19,32
2015-08-20,52
2015-08-21,72
2015-08-22,91
2015-08-23,41
2015-08-24,38
2015-08-25,32
2015-08-26,74
2015-08-27,34
2015-08-28,25
2015-08-29,23
2015-08-30,36
2015-08-31,36

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-08-31,Disappointment Cleaver,12,0,0.0
2015-08-31,Disappointment Cleaver,12,0,0.0
2015-08-31,Disappointment Cleaver,12,0,0.0
2015-08-30,Disappointment Cleaver,12,0,0.0
2015-08-30,Disappointment Cleaver,12,0,0.0
2015-08-30,Disappointment Cleaver,12,0,0.0
2015-08-29,Disappointment Cleaver,12,0,0.0
2015-08-29,Disappointment Cleaver,11,0,0.0
2015-08-28,Disappointment Cleaver,11,0,0.0
2015-08-28,Disappointment Cleaver,11,0,0.0
2015-08-28,Disappointment Cleaver,3,0,0.0
2015-08-27,Disappointment Cleaver,12,0,0.0
2015-08-27,Disappointment Cleaver,12,0,0.0
2015-08-27,Disappointment Cleaver,10,0,0.0
2015-08-26,Disappointment Cleaver,12,7,0.583333333
2015-08-26,Disappointment Cleaver,3,3,1.0
2015-08-26,Disappointment Cleaver,2,2,1.0
2015-08-26,Disappointment Cleaver,6,6,1.0
2015-08-26,Disappointment Cleaver,9,3,0.333333333
2015-08-26,Disappointment Cleaver,9,5,0.5555555560000001
2015-08-26,Disappointment Cleaver,12,0,0.0
2015-08-26,Emmons-Winthrop,2,1,0.5
2015-08-26,Disappointment Cleaver,3,4,1.333333333
2015-08-26,Disappointment Cleaver,2,2,1.0
2015-08-26,Disappointment Cleaver,12,0,0.0
2015-08-26,Disappointment Cleaver,2,0,0.0
2015-08-25,Disappointment Cleaver,2,2,1.0
