Attempts
Date,Attempted
2015-09-01,46
2015-09-02,32
2015-09-03,39
2015-09-04,43
2015-09-05,56
2015-09-06,35
2015-09-07,47
2015-09-08,2
2015-09-09,16
2015-09-10,14
2015-09-11,54
2015-09-12,43
2015-09-13,37
2015-09-14,27
2015-09-15,9
2015-09-16,12
2015-09-17,12
2015-09-18,39
2015-09-19,37
2015-09-20,38
2015-09-21,33
2015-09-22,3
2015-09-23,12
2015-09-24,21
2015-09-25,23
2015-09-26,17
2015-09-27,12
2015-09-28,12
2015-09-30,2

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-09-30,Disappointment Cleaver,2,0,0.0
2015-09-28,Disappointment Cleaver,12,4,0.333333333
2015-09-27,Disappointment Cleaver,12,6,0.5
2015-09-26,Disappointment Cleaver,2,0,0.0
2015-09-26,Disappointment Cleaver,12,3,0.25
2015-09-26,Disappointment Cleaver,3,0,0.0
2015-09-25,Disappointment Cleaver,12,9,0.75
2015-09-25,Disappointment Cleaver,11,6,0.545454545
2015-09-24,Disappointment Cleaver,10,0,0.0
2015-09-24,Disappointment Cleaver,11,1,0.090909091
2015-09-23,Disappointment Cleaver,12,0,0.0
2015-09-22,Disappointment Cleaver,3,0,0.0
2015-09-21,Disappointment Cleaver,2,0,0.0
2015-09-21,Disappointment Cleaver,2,0,0.0
2015-09-21,Disappointment Cleaver,11,0,0.0
2015-09-21,Disappointment Cleaver,8,0,0.0
2015-09-21,Disappointment Cleaver,10,9,0.9
2015-09-20,Disappointment Cleaver,3,0,0.0
2015-09-20,Disappointment Cleaver,12,7,0.583333333
2015-09-20,Disappointment Cleaver,12,0,0.0
2015-09-20,Disappointment Cleaver,11,0,0.0
2015-09-19,Disappointment Cleaver,12,0,0.0
2015-09-19,Disappointment Cleaver,2,0,0.0
2015-09-19,Disappointment Cleaver,12,0,0.0
2015-09-19,Disappointment Cleaver,11,0,0.0
2015-09-18,Disappointment Cleaver,12,0,0.0
2015-09-18,Disappointment Cleaver,11,0,0.0
2015-09-18,Disappointment Cleaver,12,0,0.0
2015-09-18,Disappointment Cleaver,2,0,0.0
2015-09-18,Disappointment Cleaver,2,0,0.0
2015-09-17,Disappointment Cleaver,12,0,0.0
2015-09-16,Disappointment Cleaver,12,0,0.0
2015-09-15,Disappointment Cleaver,9,0,0.0
2015-09-14,Disappointment Cleaver,8,7,0.875
2015-09-14,Disappointment Cleaver,12,12,1.0
2015-09-14,Disappointment Cleaver,2,2,1.0
2015-09-14,Disappointment Cleaver,3,3,1.0
2015-09-14,Disappointment Cleaver,2,2,1.0
2015-09-13,Disappointment Cleaver,2,0,0.0
2015-09-13,Disappointment Cleaver,12,0,0.0
2015-09-13,Disappointment Cleaver,12,0,0.0
2015-09-13,Disappointment Cleaver,11,0,0.0
2015-09-12,Disappointment Cleaver,2,0,0.0
2015-09-12,Disappointment Cleaver,11,0,0.0
2015-09-12,Disappointment Cleaver,11,0,0.0
2015-09-12,Disappointment Cleaver,2,0,0.0
2015-09-12,Disappointment Cleaver,2,0,0.0
2015-09-12,Disappointment Cleaver,2,2,1.0
2015-09-12,Disappointment Cleaver,1,0,0.0
2015-09-12,Disappointment Cleaver,12,11,0.916666667
2015-09-11,Disappointment Cleaver,3,0,0.0
2015-09-11,Disappointment Cleaver,12,4,0.333333333
2015-09-11,Disappointment Cleaver,12,4,0.333333333
2015-09-11,Disappointment Cleaver,12,0,0.0
2015-09-11,Disappointment Cleaver,1,0,0.0
2015-09-11,Disappointment Cleaver,4,0,0.0
2015-09-11,Disappointment Cleaver,6,0,0.0
2015-09-11,Disappointment Cleaver,2,2,1.0
2015-09-11,Disappointment Cleaver,2,0,0.0
2015-09-10,Disappointment Cleaver,12,0,0.0
2015-09-10,Disappointment Cleaver,2,2,1.0
2015-09-09,Disappointment Cleaver,2,2,1.0
2015-09-09,Disappointment Cleaver,2,0,0.0
2015-09-09,Disappointment Cleaver,12,10,0.833333333
2015-09-08,Disappointment Cleaver,2,0,0.0
2015-09-07,Disappointment Cleaver,2,0,0.0
2015-09-07,Disappointment Cleaver,3,0,0.0
2015-09-07,Disappointment Cleaver,12,5,0.41666666700000005
2015-09-07,Disappointment Cleaver,8,4,0.5
2015-09-07,Disappointment Cleaver,11,0,0.0
2015-09-07,Disappointment Cleaver,11,9,0.818181818
2015-09-06,Disappointment Cleaver,12,0,0.0
2015-09-06,Disappointment Cleaver,11,0,0.0
2015-09-06,Disappointment Cleaver,12,0,0.0
2015-09-05,Disappointment Cleaver,3,0,0.0
2015-09-05,Emmons-Winthrop,5,0,0.0
2015-09-05,Disappointment Cleaver,2,0,0.0
2015-09-05,Disappointment Cleaver,3,0,0.0
2015-09-05,Disappointment Cleaver,12,0,0.0
2015-09-05,Disappointment Cleaver,2,0,0.0
2015-09-05,Disappointment Cleaver,4,0,0.0
2015-09-05,Disappointment Cleaver,12,0,0.0
2015-09-05,Disappointment Cleaver,11,0,0.0
2015-09-05,Disappointment Cleaver,2,0,0.0
2015-09-04,Disappointment Cleaver,3,0,0.0
2015-09-04,Disappointment Cleaver,12,0,0.0
2015-09-04,Disappointment Cleaver,12,0,0.0
2015-09-04,Disappointment Cleaver,12,0,0.0
2015-09-04,Disappointment Cleaver,2,0,0.0
2015-09-04,Disappointment Cleaver,2,0,0.0
2015-09-03,Disappointment Cleaver,2,0,0.0
2015-09-03,Disappointment Cleaver,3,0,0.0
2015-09-03,Disappointment Cleaver,11,0,0.0
2015-09-03,Disappointment Cleaver,11,0,0.0
2015-09-03,Disappointment Cleaver,12,0,0.0
2015-09-02,Disappointment Cleaver,8,0,0.0
2015-09-02,Disappointment Cleaver,12,0,0.0
2015-09-02,Disappointment Cleaver,12,0,0.0
2015-09-01,Disappointment Cleaver,12,0,0.0
2015-09-01,Disappointment Cleaver,10,0,0.0
2015-09-01,Disappointment Cleaver,12,0,0.0
2015-09-01,Disappointment Cleaver,12,0,0.0

Weatherlog 2015930
Route,Attempted,Succeeded,Success Percentage
Disappointment Cleaver,2,0,0.0

Totals
,Battery Voltage AVG,13.48333333
,Temperature AVG,38.72958333
,Relative Humidity AVG,57.36958333
,Wind Speed Daily AVG,11.30075
,Wind Direction AVG,216.9341667
,Solare Radiation AVG,202.81275

Weatherlog 2015929
Totals
,Battery Voltage AVG,13.49583333
,Temperature AVG,40.255
,Relative Humidity AVG,31.24441667
,Wind Speed Daily AVG,29.11041667
,Wind Direction AVG,270.2083333
,Solare Radiation AVG,195.9231667

Weatherlog 2015928
Route,Attempted,Succeeded,Success Percentage
Disappointment Cleaver,12,4,0.333333333

Totals
,Battery Voltage AVG,13.50333333
,Temperature AVG,38.33541667
,Relative Humidity AVG,27.02541667
,Wind Speed Daily AVG,17.11520833
,Wind Direction AVG,270.8666667
,Solare Radiation AVG,201.85258330000002

Weatherlog 2015927
Route,Attempted,Succeeded,Success Percentage
Disappointment Cleaver,12,6,0.5

Totals
,Battery Voltage AVG,13.50458333
,Temperature AVG,35.105
,Relative Humidity AVG,23.76833333
,Wind Speed Daily AVG,4.5570833330000005
,Wind Direction AVG,188.2135833
,Solare Radiation AVG,201.89120830000002

Weatherlog 2015926
Route,Attempted,Succeeded,Success Percentage
Disappointment Cleaver,17,3,0.25

Totals
,Battery Voltage AVG,13.51625
,Temperature AVG,27.32208333
,Relative Humidity AVG,59.46991667
,Wind Speed Daily AVG,15.73075
,Wind Direction AVG,216.3425
,Solare Radiation AVG,183.87170830000002

Weatherlog 2015925
Route,Attempted,Succeeded,Success Percentage
Disappointment Cleaver,23,15,1.2954545450000001

Totals
,Battery Voltage AVG,13.03708333
,Temperature AVG,32.39041667
,Relative Humidity AVG,95.30583333
,Wind Speed Daily AVG,61.3875
,Wind Direction AVG,261.03333330000004
,Solare Radiation AVG,12.38258333

Weatherlog 2015924
Route,Attempted,Succeeded,Success Percentage
Disappointment Cleaver,21,1,0.090909091

Totals
,Battery Voltage AVG,13.55375
,Temperature AVG,36.09958333
,Relative Humidity AVG,60.97875
,Wind Speed Daily AVG,51.61083333
,Wind Direction AVG,265.4166667
,Solare Radiation AVG,180.315875

Weatherlog 2015923
Route,Attempted,Succeeded,Success Percentage
Disappointment Cleaver,12,0,0.0

Totals
,Battery Voltage AVG,13.5425
,Temperature AVG,30.87583333
,Relative Humidity AVG,70.45
